Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
SKIPPER,2016-06-27,128.54,131.74,127.22,129.15,43616,1.0,,0,,1,0.004746,0.020054,0.010221,,1.0,0,0.1927,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-06-28,129.29,130.99,127.51,128.82,89111,1.3428,-0.00665,0,,-1,0.003635,0.013197,0.010169,,1.3428,0,0.2078,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-06-29,129.25,131.65,128.92,131.03,49499,0.8149,0.001137,0,0.7071,1,0.013772,0.004732,0.002519,,0.8149,0,0.1901,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-06-30,131.27,144.44,131.27,138.8,381785,2.7076,0.050228,0,1.0971,1,0.057363,0.040634,0.0,,2.7076,0,0.1042,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-07-01,139.27,147.55,139.17,144.44,262186,1.5867,0.085963,0,0.4443,1,0.037122,0.021531,0.000692,,1.5867,0,0.1713,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-07-04,145.38,154.04,144.44,151.78,282235,1.5278,0.131695,0,0.6984,1,0.044023,0.01489,0.006193,,1.3253,0,0.1593,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-07-05,151.5,152.44,146.8,148.16,58762,0.3524,0.111996,0,-1.4593,-1,0.022046,0.006344,0.009179,,0.284,0,0.1914,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-07-07,153.34,157.62,150.79,152.68,502954,2.4091,0.14227,0,0.1993,-1,0.004304,0.028032,0.012379,,1.6901,0,0.1458,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-07-08,152.44,154.04,148.72,150.89,153985,0.7597,0.132309,0,-1.0441,-1,0.010168,0.010604,0.014381,,0.611,0,0.1983,0,0,0.0,0.0,NO_SIGNAL
SKIPPER,2016-07-11,152.58,154.42,150.75,152.11,85452,0.4475,0.123009,0,-0.3697,-1,0.00308,0.012097,0.008941,,0.3944,0,0.1998,0,0,0.0,0.0,NO_SIGNAL
