Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
SOLARA,2018-06-27,258.63,258.63,245.7,245.7,28655,1.0,,0,,-1,0.049994,0.0,0.0,,1.0,0,0.1635,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-06-28,233.45,233.45,233.45,233.45,1780,0.117,-0.042146,0,,-1,0.0,0.0,0.0,,0.117,0,0.1659,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-06-29,221.79,221.79,221.79,221.79,101313,2.307,-0.103915,0,-0.7071,-1,0.0,0.0,0.0,,2.307,0,0.0973,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-07-02,210.71,210.71,210.71,210.71,696,0.021,-0.148552,0,-0.6757,-1,0.0,0.0,0.0,,0.021,0,0.1392,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-07-03,200.22,200.22,200.22,200.22,834,0.0313,-0.202333,0,1.2577,-1,0.0,0.0,0.0,,0.0313,0,0.0935,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-07-04,190.22,190.22,190.22,190.22,1894,0.0841,-0.25882,0,-0.6254,-1,0.0,0.0,0.0,,0.0889,0,0.1241,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-07-05,180.75,180.75,180.75,180.75,1875,0.0958,-0.306733,0,1.162,-1,0.0,0.0,0.0,,0.0879,0,0.0872,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-07-06,171.72,171.72,171.72,171.72,3198,0.1824,-0.358822,0,-0.8516,-1,0.0,0.0,0.0,,1.8818,0,0.099,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-07-09,163.18,163.18,163.18,163.18,8281,0.5018,-0.416003,0,1.4866,-1,0.0,0.0,0.0,,2.5746,0,0.0367,0,0,0.0,0.0,NO_SIGNAL
SOLARA,2018-07-10,155.03,171.33,155.03,162.01,574528,7.9459,-0.431867,0,2.6666,1,0.045024,0.057527,0.0,,4.8707,1,-0.0834,1,1,0.5945,0.0133,HIGH_QUALITY_BUY
