Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
SONACOMS,2021-06-24,293.31,351.98,287.47,351.98,41848082,1.0,,0,,1,0.200027,0.0,0.016592,,1.0,0,0.0092,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-06-25,377.99,403.33,346.37,355.39,30784367,0.8477,0.005261,0,,-1,0.05979,0.071302,0.025381,,0.8477,1,-0.0069,0,0,0.1133,0.0433,LOW_QUALITY_FLAG
SONACOMS,2021-06-28,347.88,352.46,328.69,338.63,5967165,0.2278,-0.03902,0,-0.7071,-1,0.02659,0.013525,0.029354,,0.2278,0,0.0883,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-06-29,336.19,343.01,332.14,340.18,2476272,0.1222,-0.030254,0,0.4942,1,0.011868,0.008319,0.011905,,0.1222,0,0.1361,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-06-30,341.79,349.83,332.58,333.56,983870,0.0599,-0.048003,0,-0.2448,-1,0.024079,0.024104,0.002938,,0.0599,0,0.1114,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-07-01,333.27,341.06,324.74,336.14,1740419,0.1246,-0.037628,0,0.6831,1,0.008612,0.014637,0.025376,,0.2074,0,0.0932,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-07-02,334.24,375.17,332.58,367.81,4600866,0.3643,0.053898,0,1.8125,1,0.100437,0.02001,0.004513,,1.4589,0,0.0153,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-07-05,371.66,377.99,357.14,373.27,3150274,0.2753,0.06161,0,0.13,1,0.004332,0.012645,0.038899,,1.2162,0,0.0754,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-07-06,372.88,385.59,366.4,378.09,3504682,0.3318,0.07554,0,0.0808,1,0.013972,0.019837,0.017139,,1.2535,0,0.1334,0,0,0.0,0.0,NO_SIGNAL
SONACOMS,2021-07-07,374.44,410.05,368.83,395.0,5935443,0.5877,0.116383,0,0.7919,1,0.054909,0.038101,0.014203,,1.5676,0,0.0321,0,0,0.0,0.0,NO_SIGNAL
