Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
TEXRAIL,2016-06-27,82.21,84.23,82.16,82.73,157949,1.0,,0,,1,0.006325,0.018131,0.000604,,1.0,0,0.1693,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-06-28,83.04,83.48,82.65,82.82,300199,1.3105,-0.003007,0,,-1,0.002649,0.005313,0.002053,,1.3105,0,0.1747,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-06-29,83.44,83.44,82.56,82.6,250826,1.0614,-0.015032,0,-0.7071,-1,0.010067,0.0,0.000484,,1.0614,0,0.1758,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-06-30,82.65,83.0,82.12,82.47,188394,0.8398,-0.026814,0,-0.2733,-1,0.002178,0.004244,0.004244,,0.8398,0,0.1959,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-01,82.56,83.35,82.52,82.82,234689,1.0366,-0.027469,0,1.2893,1,0.003149,0.006399,0.000483,,1.0366,0,0.1443,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-04,83.0,84.4,83.0,83.44,246795,1.0739,-0.025068,0,1.3787,1,0.005301,0.011505,0.0,,1.0107,0,0.1507,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-05,83.92,83.92,82.65,82.82,105602,0.498,-0.028347,0,-1.4419,-1,0.013108,0.0,0.002053,,0.5145,0,0.1656,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-07,83.39,83.57,82.16,82.34,585826,2.2638,-0.034377,0,-0.963,-1,0.012591,0.002186,0.002186,,2.1517,0,0.1193,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-08,83.04,83.22,81.86,82.6,143349,0.5828,-0.029456,0,0.6533,-1,0.005299,0.002179,0.008959,,0.5445,0,0.1847,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-11,83.35,83.57,82.52,82.87,173015,0.7249,-0.043572,0,0.6237,-1,0.005759,0.002655,0.004223,,0.6895,0,0.1889,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-12,82.82,83.48,82.73,83.31,444199,1.7261,-0.044539,0,0.936,1,0.005916,0.002041,0.00108,,1.5296,0,0.1248,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-13,83.39,83.79,81.86,82.12,273988,1.0589,-0.055634,0,-2.0989,-1,0.01523,0.004871,0.003166,,0.8454,0,0.1545,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-14,82.95,83.44,82.12,82.52,1127841,3.464,-0.044079,0,0.7919,-1,0.005184,0.005938,0.004847,,2.6079,0,0.0713,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-15,82.78,83.44,82.16,82.73,503698,1.4889,-0.026997,0,0.4097,-1,0.000604,0.007978,0.00689,,0.9983,0,0.1793,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-18,83.26,86.42,82.95,84.45,1229506,3.0913,-0.001723,0,2.3753,1,0.014293,0.023327,0.003671,,1.7176,0,0.1055,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-19,85.19,85.98,83.57,84.4,161011,0.4205,-0.007049,0,-0.2491,-1,0.009273,0.00936,0.009834,,0.2442,0,0.1884,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-20,85.02,85.33,83.26,83.61,330342,0.8697,-0.017504,0,-1.2505,-1,0.016584,0.003708,0.004186,,0.4927,0,0.1854,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-21,84.32,86.95,84.32,84.89,524449,1.3521,0.010343,0,1.6086,1,0.00676,0.024267,0.0,,0.9539,0,0.1403,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-22,85.19,90.46,84.4,89.8,1226623,2.8393,0.059608,0,3.3973,1,0.054114,0.00735,0.008797,,1.7665,0,0.0657,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-25,90.46,92.57,89.8,90.73,732899,1.6394,0.073022,0,0.3524,1,0.002985,0.02028,0.007274,,1.2316,0,0.1597,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-26,95.65,95.65,88.0,89.28,1082373,2.2676,0.063219,0,-1.2782,-1,0.066597,0.0,0.014337,-0.021353,1.3888,0,0.1084,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-27,88.88,91.96,88.0,91.47,432281,0.9096,0.098923,0,1.239,1,0.02914,0.005357,0.009621,-0.010435,0.5405,0,0.1411,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-28,92.44,93.8,91.87,92.97,828848,1.6893,0.109931,0,0.7009,1,0.005733,0.008928,0.006131,-0.030363,0.9631,0,0.1536,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-07-29,92.44,94.68,92.0,92.26,666943,1.3393,0.100202,0,-0.8051,-1,0.001947,0.024279,0.002818,-0.091316,0.8908,0,0.1571,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-08-01,92.44,93.98,88.44,89.01,339716,0.691,0.040582,0,-2.2272,-1,0.037105,0.017301,0.006404,-0.093698,0.507,0,0.1356,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-08-02,89.54,91.52,88.49,88.75,390103,0.7998,0.042166,0,-0.3467,-1,0.008823,0.02231,0.00293,-0.069575,0.7339,0,0.1843,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-08-03,89.1,89.15,86.51,87.04,250053,0.5221,0.045683,0,-1.2455,-1,0.02312,0.000574,0.006089,-0.099385,0.505,0,0.1775,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-08-04,87.92,90.38,86.86,87.74,158767,0.3396,0.031177,0,0.3397,-1,0.002047,0.028037,0.01003,-0.121836,0.4397,0,0.1536,0,0,0.0,0.0,NO_SIGNAL
TEXRAIL,2016-08-05,88.22,89.15,87.65,88.05,145939,0.3197,-0.034918,0,0.071,-1,0.001927,0.010562,0.004543,-0.111613,0.568,0,0.1898,0,0,0.0,0.0,NO_SIGNAL
