Ticker,Date,Open,High,Low,Close,Volume,AVR,CAR_10,Vol_Spike,Return_Z,Candle_Direction,Body_Size,Upper_Shadow,Lower_Shadow,Price_Momentum_5,Volume_Surge,IF_Flag_Enhanced,IF_Score_Enhanced,Signal_Quality,RF_Prediction,RF_Probability_Buy,RF_Probability_Sell,Final_Signal
VESUVIUS,2016-07-07,83.37,85.24,82.87,83.02,17550,1.0,,0,,-1,0.004198,0.022525,0.001807,,1.0,0,0.1639,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-08,82.97,84.2,81.54,83.5,7210,0.5824,0.007545,0,,1,0.006388,0.008383,0.017126,,0.5824,0,0.1726,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-11,84.24,84.96,82.71,83.41,7010,0.6619,-0.010918,0,-0.7071,-1,0.009853,0.008632,0.008392,,0.6619,0,0.2038,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-12,86.27,86.27,83.03,83.73,8630,0.8545,-0.013359,0,0.2798,-1,0.029442,0.0,0.00836,,0.8545,0,0.1773,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-13,83.92,84.29,80.15,81.74,41300,2.5275,-0.036944,0,-1.4659,-1,0.025977,0.004527,0.019452,,2.5275,0,0.1012,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-14,82.64,82.64,80.88,81.44,2610,0.1857,-0.045955,0,0.0093,-1,0.014521,0.0,0.006876,,0.1955,0,0.1873,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-15,80.7,81.76,80.15,81.54,10270,0.7601,-0.041972,0,0.3884,1,0.010409,0.002698,0.006745,,0.7355,0,0.1766,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-18,82.34,84.48,81.07,83.71,15600,1.1327,-0.011531,0,1.7042,1,0.016638,0.009198,0.015171,,0.9948,0,0.147,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-19,83.02,85.19,81.74,82.09,10650,0.7933,-0.033217,0,-1.1589,-1,0.011202,0.026434,0.004264,,0.6621,0,0.1585,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-20,83.19,83.19,80.0,81.16,18770,1.3446,-0.04892,0,-0.5963,-1,0.024402,0.0,0.014293,,1.6209,0,0.1578,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-21,80.7,82.59,80.43,81.4,15940,1.1273,-0.039455,0,0.3406,1,0.008674,0.014619,0.003317,,1.1189,0,0.173,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-22,81.45,82.68,80.6,80.75,6320,0.4686,-0.058639,0,-0.4084,-1,0.008594,0.015232,0.001858,,0.4697,0,0.1859,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-25,81.93,82.19,79.95,80.48,6970,0.5367,-0.054578,0,-0.0644,-1,0.017698,0.003231,0.006585,,0.5942,0,0.1956,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-26,81.18,81.73,79.65,80.88,8870,0.6988,-0.041956,0,0.5487,-1,0.003695,0.0068,0.015208,,0.7798,0,0.1755,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-27,79.93,82.77,79.17,81.18,6580,0.5356,-0.01759,0,0.4301,1,0.015639,0.019586,0.009362,,0.7363,0,0.1747,0,0,0.0,0.0,NO_SIGNAL
VESUVIUS,2016-07-28,80.99,82.59,80.71,82.04,11070,0.9067,-0.003846,0,0.9314,1,0.012965,0.006704,0.003413,,1.3904,0,0.1758,0,0,0.0,0.0,NO_SIGNAL
