ticker,train_signals,test_signals,test_buy_precision,test_sell_precision,test_overall_precision,high_quality_buy_count,high_quality_sell_count,note
AARTIDRUGS,99,14,0.2,0.0,0.764,32.0,5.0,
AARTIIND,99,25,0.0,0.0,0.84,6.0,3.0,
APARINDS,99,27,0.0,0.0,1.0,30.0,6.0,
ASTRAMICRO,99,6,0.0,0.0,1.0,15.0,4.0,
AVANTEL,19,1,,,,,,Too few test signals for reliable metrics
BALAMINES,99,26,0.0,0.0,1.0,33.0,0.0,
BHARATFORG,99,16,0.5,0.0,0.739,27.0,8.0,
CESC,99,10,0.0,0.0,1.0,22.0,0.0,
CGPOWER,99,11,0.0,0.0,1.0,12.0,18.0,
CHOLAFIN,99,10,0.0,0.0,1.0,34.0,1.0,
DATAPATTNS,45,12,0.0,0.0,1.0,9.0,0.0,
DEEPAKNTR,99,13,0.0,0.0,0.839,29.0,2.0,
ENDURANCE,96,18,0.0,0.0,0.885,7.0,7.0,
FDC,99,13,0.0,0.0,0.839,14.0,7.0,
FEDFINA,26,17,0.0,0.0,1.0,0.0,1.0,
FIVESTAR,36,19,0.0,0.5,0.974,0.0,3.0,
GENUSPOWER,99,9,0.0,0.5,0.694,25.0,10.0,
INNOVACAP,25,11,0.0,0.0,1.0,3.0,2.0,
IRCON,77,7,0.0,0.0,0.714,16.0,2.0,
LAURUSLABS,95,9,0.75,0.0,0.917,32.0,9.0,
MSUMI,42,12,0.0,0.0,1.0,0.0,5.0,
MUTHOOTFIN,99,20,0.25,0.0,0.625,26.0,0.0,
PARAS,47,12,0.0,0.0,1.0,4.0,7.0,
PIGL,81,26,0.0,0.0,1.0,5.0,12.0,
POONAWALLA,99,16,0.0,0.0,0.5,12.0,10.0,
PRIVISCL,99,13,0.0,0.0,0.559,16.0,8.0,
RITES,79,10,0.0,0.0,0.771,8.0,1.0,
RTNPOWER,99,9,0.0,1.0,1.0,22.0,24.0,
RVNL,72,4,0.0,0.0,1.0,27.0,3.0,
SKIPPER,99,5,0.0,0.0,1.0,27.0,11.0,
SOLARA,79,12,0.0,0.0,1.0,32.0,6.0,
SONACOMS,50,5,0.0,0.0,1.0,5.0,3.0,
TEXRAIL,99,8,0.0,0.0,1.0,9.0,13.0,
TITAGARH,99,7,0.0,1.0,1.0,13.0,8.0,
VESUVIUS,99,11,0.0,0.0,1.0,8.0,0.0,
