ticker,window_start_date,window_end_date,window_days,peak_avr,peak_car,peak_return_z,peak_vol_spike,max_signals_same_day,window_score,entry_price,exit_price,fwd_return_3m_pct,fwd_return_6m_pct,max_abs_return_pct,direction,confirmed,pending_validation
AARTIDRUGS,2018-01-03,2018-01-18,12,25.8433,0.2347,7.4038,1,5,120.0,172.66,174.6,-18.38,-22.81,22.81,SELL SIGNAL,True,False
AARTIDRUGS,2023-07-24,2023-08-02,8,29.7659,0.2681,7.1215,1,5,120.0,599.69,593.2,-20.23,-11.63,20.23,SELL SIGNAL,True,False
AARTIDRUGS,2025-05-07,2025-05-19,9,32.8384,0.3037,7.9872,1,5,120.0,417.61,478.03,-0.54,-10.47,10.47,SELL SIGNAL,True,False
AARTIDRUGS,2020-02-14,2020-03-24,26,26.4187,0.2698,6.2772,1,5,114.5,160.12,117.83,162.39,542.96,542.96,BUY SIGNAL,True,False
AARTIDRUGS,2023-03-20,2023-04-19,19,60.5853,0.2254,7.3291,1,4,113.0,364.72,422.11,42.07,12.21,42.07,BUY SIGNAL,True,False
AARTIDRUGS,2020-08-05,2020-09-02,21,21.151,0.4305,5.0541,1,5,112.27,462.06,717.91,8.64,-6.41,8.64,BUY SIGNAL,True,False
AARTIDRUGS,2019-12-27,2020-01-03,6,6.3773,0.1864,7.379,1,5,111.02,146.96,139.16,20.19,150.47,150.47,BUY SIGNAL,True,False
AARTIDRUGS,2020-04-24,2020-06-04,28,28.5159,0.2686,3.1709,1,5,99.35,177.4,246.85,184.2,215.97,215.97,BUY SIGNAL,True,False
AARTIDRUGS,2024-08-22,2024-08-28,5,14.0426,0.1404,3.4911,1,4,92.55,559.71,579.91,-20.91,-39.9,39.9,SELL SIGNAL,True,False
AARTIDRUGS,2022-08-17,2022-08-23,5,19.4218,0.0775,5.3702,1,5,91.22,463.96,438.03,2.08,-17.18,17.18,BUY SIGNAL,True,False
AARTIDRUGS,2018-09-04,2018-09-17,9,11.9613,0.1832,3.0131,0,4,90.07,147.95,158.06,-11.22,-2.9,11.22,SELL SIGNAL,True,False
AARTIDRUGS,2020-07-24,2020-07-28,3,11.8112,0.2329,2.9624,0,4,89.81,389.59,424.09,56.45,57.6,57.6,BUY SIGNAL,True,False
AARTIDRUGS,2020-06-16,2020-06-26,9,11.7203,0.2429,2.5748,0,4,87.87,246.37,314.99,136.9,120.25,136.9,BUY SIGNAL,True,False
AARTIIND,2024-08-07,2024-08-20,9,11.7319,0.1745,6.3817,1,5,118.63,752.14,619.75,-29.53,-33.59,33.59,SELL SIGNAL,True,False
AARTIIND,2017-12-22,2017-12-29,5,18.394,0.2321,4.5524,1,5,112.76,267.04,268.08,4.2,9.14,9.14,BUY SIGNAL,True,False
AARTIIND,2023-11-06,2023-11-10,5,13.9017,0.1201,6.1044,1,5,105.03,507.91,509.05,34.8,23.14,34.8,BUY SIGNAL,True,False
