Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
DEEPAKNTR,2017-10-10,214.19,BUY,HIGH_QUALITY_BUY,1.0,1,0.039656,1.6689,0.669,2.1809682349306025,0
DEEPAKNTR,2018-02-02,240.38,SELL,LOW_QUALITY_SELL,0.0,-1,0.080519,2.9534,0.66,2.2714312797725262,0
DEEPAKNTR,2020-02-18,469.95,BUY,HIGH_QUALITY_BUY,1.0,1,0.063909,1.6461,0.6807,2.024537774750885,1
DEEPAKNTR,2020-02-25,492.97,BUY,HIGH_QUALITY_BUY,1.0,1,0.071627,3.4017,0.66,2.130604730247736,1
DEEPAKNTR,2020-03-02,491.76,BUY,HIGH_QUALITY_BUY,1.0,1,0.045764,1.9749,0.66,2.8096387690860043,1
DEEPAKNTR,2020-04-07,425.06,BUY,HIGH_QUALITY_BUY,1.0,1,0.094697,2.0013,0.6988,2.212892562059448,1
DEEPAKNTR,2020-04-09,461.97,BUY,HIGH_QUALITY_BUY,1.0,1,0.0397,1.9437,0.66,2.28198552132304,1
DEEPAKNTR,2020-04-29,498.49,BUY,HIGH_QUALITY_BUY,1.0,1,0.041493,3.1835,0.66,2.1609606627710494,1
DEEPAKNTR,2020-05-05,502.13,BUY,HIGH_QUALITY_BUY,1.0,1,0.036324,1.6888,0.66,2.6635127940769494,1
DEEPAKNTR,2020-05-22,485.51,SELL,LOW_QUALITY_SELL,0.0,-1,0.031575,1.7305,0.66,2.1104603637998536,0
DEEPAKNTR,2020-05-27,491.56,SELL,LOW_QUALITY_SELL,0.0,-1,0.0457,3.324,0.7812,2.025384107328225,0
DEEPAKNTR,2020-08-07,600.82,BUY,HIGH_QUALITY_BUY,1.0,1,0.015276,2.0243,0.6576,2.0375623623693526,1
DEEPAKNTR,2020-09-15,842.75,BUY,HIGH_QUALITY_BUY,1.0,1,0.065235,2.0344,0.7781,2.064860487057589,1
