Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
ENDURANCE,2020-04-20,591.27,SELL,LOW_QUALITY_SELL,0.0,-1,0.058202,3.6384,0.66,2.6669705919914923,0
ENDURANCE,2020-04-22,567.38,SELL,LOW_QUALITY_SELL,0.0,-1,0.035839,3.8679,0.66,4.13019724197036,0
ENDURANCE,2020-05-11,622.8,BUY,HIGH_QUALITY_BUY,1.0,1,0.027333,4.1145,0.8528,5.107878270537584,1
ENDURANCE,2020-05-28,661.01,BUY,HIGH_QUALITY_BUY,1.0,1,0.014831,1.7199,0.6692,3.1887762316526693,1
ENDURANCE,2020-05-29,712.22,BUY,HIGH_QUALITY_BUY,1.0,1,0.081235,3.8323,0.7731,3.096330876257177,1
ENDURANCE,2022-04-27,1219.73,BUY,HIGH_QUALITY_BUY,1.0,1,0.053617,2.1037,0.66,2.338630337972524,0
ENDURANCE,2022-05-10,1160.08,BUY,HIGH_QUALITY_BUY,1.0,1,0.009213,2.3034,0.5675,2.319094847091651,0
ENDURANCE,2024-01-17,2027.41,BUY,HIGH_QUALITY_BUY,1.0,1,0.046157,2.1023,0.66,3.1778596421279133,0
ENDURANCE,2025-06-25,2745.2,BUY,HIGH_QUALITY_BUY,1.0,1,0.093609,2.2226,0.7331,2.930386293469624,0
ENDURANCE,2025-07-01,2873.2,BUY,HIGH_QUALITY_BUY,1.0,1,0.03759,3.8069,0.66,3.205832892422678,0
