Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
FDC,2019-12-06,200.71,BUY,HIGH_QUALITY_BUY,1.0,1,0.027648,2.563,0.66,2.6518334803453247,0
FDC,2020-02-24,249.66,BUY,HIGH_QUALITY_BUY,1.0,1,0.044166,2.0162,0.66,2.333939624582411,0
FDC,2020-03-05,234.48,BUY,HIGH_QUALITY_BUY,1.0,1,0.056359,5.3335,0.66,2.8047678393943687,1
FDC,2020-04-03,195.69,BUY,HIGH_QUALITY_BUY,1.0,1,0.026921,10.0035,0.65,2.124074323739515,1
FDC,2020-04-09,233.41,BUY,HIGH_QUALITY_BUY,1.0,1,0.126659,3.3759,0.6926,2.5703256653200874,1
FDC,2020-04-22,239.86,BUY,HIGH_QUALITY_BUY,1.0,1,0.080791,2.2541,0.6781,2.9006037917873795,1
FDC,2020-04-24,254.52,BUY,HIGH_QUALITY_BUY,1.0,1,0.037629,2.3112,0.66,3.0180076390821857,1
FDC,2020-05-07,246.66,BUY,HIGH_QUALITY_BUY,1.0,1,0.023953,1.639,0.7124,2.3158424266113404,1
FDC,2020-06-22,266.64,BUY,HIGH_QUALITY_BUY,1.0,1,0.090508,4.1806,0.66,2.3160105349482434,0
FDC,2020-06-23,282.28,BUY,HIGH_QUALITY_BUY,1.0,1,0.039246,1.6871,0.66,3.1916095316198394,0
FDC,2020-07-23,269.72,BUY,HIGH_QUALITY_BUY,1.0,1,0.048433,2.1924,0.8196,3.441892296342121,0
FDC,2020-07-29,274.65,BUY,HIGH_QUALITY_BUY,1.0,1,0.029268,2.6433,0.66,3.2590924457998542,0
FDC,2020-07-30,280.71,BUY,HIGH_QUALITY_BUY,1.0,1,0.018615,2.9422,0.6358,3.516245546199868,0
FDC,2020-08-03,312.13,BUY,HIGH_QUALITY_BUY,1.0,1,0.061125,2.1886,0.6909,4.404339778181751,0
FDC,2023-06-26,316.33,BUY,HIGH_QUALITY_BUY,1.0,1,0.027112,3.3375,0.7456,2.9614610644929193,0
FDC,2023-07-04,325.27,BUY,HIGH_QUALITY_BUY,1.0,1,0.070249,7.2542,0.8328,2.820468343836221,0
FDC,2026-05-27,429.55,BUY,HIGH_QUALITY_BUY,1.0,1,0.055405,3.5544,0.66,2.0200207066055826,0
FDC,2026-06-22,403.5,BUY,HIGH_QUALITY_BUY,1.0,1,0.042232,3.006,0.8016,2.0197309560332437,0
