Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
IRCON,2020-02-11,35.26,SELL,LOW_QUALITY_SELL,0.0,-1,0.057219,1.6661,0.7717,3.3436804217375187,0
IRCON,2020-02-13,41.76,BUY,HIGH_QUALITY_BUY,1.0,1,0.13355,11.1671,0.6885,3.4912735425107577,0
IRCON,2020-02-14,43.75,BUY,HIGH_QUALITY_BUY,1.0,1,0.039933,2.7394,0.66,6.2733808241763995,0
IRCON,2020-02-19,46.61,BUY,HIGH_QUALITY_BUY,1.0,1,0.05167,1.6346,0.7062,9.105290754025043,0
IRCON,2020-03-26,29.65,BUY,HIGH_QUALITY_BUY,1.0,1,0.187901,2.0012,0.8157,3.1702571063796214,0
IRCON,2020-04-03,36.76,BUY,HIGH_QUALITY_BUY,1.0,1,0.094699,1.9534,0.66,2.6156309841136336,0
IRCON,2021-03-30,36.68,BUY,HIGH_QUALITY_BUY,1.0,1,0.076923,4.605,0.7464,2.628972502677401,0
IRCON,2022-11-07,46.16,BUY,HIGH_QUALITY_BUY,1.0,1,0.017188,2.6312,0.6108,3.1197340655471555,1
IRCON,2022-11-14,49.35,BUY,HIGH_QUALITY_BUY,1.0,1,0.017106,3.1707,0.6593,4.616792383606474,1
IRCON,2022-11-16,53.23,BUY,HIGH_QUALITY_BUY,1.0,1,0.028599,2.7497,0.66,6.496876304947703,1
IRCON,2023-01-13,58.27,BUY,HIGH_QUALITY_BUY,1.0,1,0.049154,2.9155,0.6826,3.0351341675182684,1
IRCON,2023-02-01,53.32,SELL,LOW_QUALITY_SELL,0.0,-1,0.066363,2.1866,0.66,2.022986840948593,0
IRCON,2023-04-27,69.3,BUY,HIGH_QUALITY_BUY,1.0,1,0.03125,2.1517,0.66,3.176523571824451,1
IRCON,2023-05-02,82.38,BUY,HIGH_QUALITY_BUY,1.0,1,0.150719,2.4286,0.6703,4.127756937479879,1
IRCON,2023-06-07,82.81,BUY,HIGH_QUALITY_BUY,1.0,1,0.043867,3.295,0.66,2.613750911226841,1
IRCON,2023-06-20,82.86,BUY,HIGH_QUALITY_BUY,1.0,1,0.041478,1.6029,0.8391,2.0375725617355527,1
IRCON,2023-06-21,81.9,SELL,LOW_QUALITY_SELL,0.0,-1,0.019514,2.0652,0.7465,2.0605370796655,0
IRCON,2023-09-11,154.52,BUY,HIGH_QUALITY_BUY,1.0,1,0.121335,2.9587,0.91,2.0327810795256216,1
