Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
PIGL,2020-07-06,10.32,BUY,HIGH_QUALITY_BUY,0.6967,1,0.09438,3.9174,0.91,2.267468786743843,0
PIGL,2020-11-24,10.62,SELL,HIGH_QUALITY_SELL,0.6167,-1,0.044964,11.8937,0.9,2.1582821356569255,0
PIGL,2021-01-25,14.05,BUY,HIGH_QUALITY_BUY,0.8533,1,0.088304,10.8187,0.91,7.095268817133713,1
PIGL,2021-04-08,41.7,BUY,HIGH_QUALITY_BUY,0.8733,1,0.031923,3.1839,0.7631,3.92732153819873,1
PIGL,2021-04-13,45.92,BUY,HIGH_QUALITY_BUY,0.8367,1,0.028904,2.2482,0.91,3.616382316219101,0
PIGL,2021-04-28,52.62,BUY,HIGH_QUALITY_BUY,0.73,1,0.044462,2.0635,0.6748,3.507421617954876,0
PIGL,2021-05-18,61.3,BUY,HIGH_QUALITY_BUY,0.7433,1,0.055441,1.6666,0.91,2.219660642052412,0
PIGL,2021-05-20,67.51,BUY,HIGH_QUALITY_BUY,0.7867,1,0.04618,1.8066,0.91,2.4511757183240834,0
PIGL,2023-05-31,74.91,SELL,HIGH_QUALITY_SELL,0.8233,-1,0.067356,3.0316,0.91,11.038077693469166,-1
PIGL,2023-06-09,64.58,SELL,HIGH_QUALITY_SELL,0.8733,-1,0.090166,4.7309,0.91,13.365698777329342,-1
PIGL,2023-06-27,45.97,SELL,HIGH_QUALITY_SELL,0.76,-1,0.073932,6.409,0.91,8.937849804853592,0
PIGL,2023-07-25,37.63,SELL,HIGH_QUALITY_SELL,0.72,-1,0.06183,4.3844,0.8934,2.557537935364593,0
PIGL,2025-07-08,120.02,SELL,HIGH_QUALITY_SELL,0.5733,-1,0.014857,1.6289,0.6992,2.8438255511325887,0
PIGL,2025-09-26,180.86,BUY,HIGH_QUALITY_BUY,0.7667,1,0.010391,1.9309,0.7418,2.20609158984984,0
PIGL,2025-10-08,174.11,BUY,HIGH_QUALITY_BUY,0.7367,1,0.049804,2.9487,0.9093,2.370525884978106,0
