Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
PRIVISCL,2018-01-11,347.48,SELL,HIGH_QUALITY_SELL,0.9067,-1,0.033758,1.7393,0.7568,2.0546546467851066,-1
PRIVISCL,2018-01-19,310.15,SELL,HIGH_QUALITY_SELL,0.6433,-1,0.050455,3.0851,0.66,2.327630541086837,0
PRIVISCL,2018-09-10,345.25,BUY,HIGH_QUALITY_BUY,0.8,1,0.110807,2.655,0.66,2.318450797689652,0
PRIVISCL,2019-05-16,371.92,BUY,HIGH_QUALITY_BUY,0.6667,1,0.058094,2.65,0.7026,2.802215898493413,0
PRIVISCL,2019-05-17,387.98,BUY,HIGH_QUALITY_BUY,0.5367,1,0.042873,2.4206,0.7502,3.2121667653035644,0
PRIVISCL,2019-05-21,412.23,BUY,HIGH_QUALITY_BUY,0.5633,1,0.017199,1.6667,0.611,4.202742408785911,0
PRIVISCL,2020-02-17,482.57,BUY,HIGH_QUALITY_BUY,0.72,1,0.131784,7.3766,0.66,2.7807647727126,0
PRIVISCL,2020-02-26,514.35,BUY,HIGH_QUALITY_BUY,0.7133,1,0.08954,6.8702,0.66,6.132419184731801,0
PRIVISCL,2020-04-07,346.24,BUY,HIGH_QUALITY_BUY,0.75,1,0.080582,2.4707,0.66,2.053410740224896,1
PRIVISCL,2020-06-19,446.64,BUY,HIGH_QUALITY_BUY,0.6867,1,0.0765,5.8552,0.66,2.1824680255466413,0
PRIVISCL,2020-07-01,456.67,BUY,HIGH_QUALITY_BUY,0.65,1,0.067011,3.9108,0.7764,2.212398030456897,0
PRIVISCL,2020-07-08,463.69,BUY,HIGH_QUALITY_BUY,0.6433,1,0.053386,3.7371,0.7043,2.0037234334352387,0
PRIVISCL,2020-07-10,479.94,BUY,HIGH_QUALITY_BUY,0.6167,1,0.059003,1.8203,0.66,2.162353649592111,0
PRIVISCL,2020-08-11,565.8,BUY,HIGH_QUALITY_BUY,0.67,1,0.046054,2.7517,0.6672,2.0021289468375745,0
PRIVISCL,2020-08-21,548.55,BUY,HIGH_QUALITY_BUY,0.5267,1,0.049997,1.9563,0.91,2.0045758762145187,0
PRIVISCL,2021-08-02,1794.91,BUY,HIGH_QUALITY_BUY,0.76,1,0.104343,3.1795,0.66,2.6981233609008646,0
PRIVISCL,2023-03-09,1113.22,BUY,HIGH_QUALITY_BUY,0.62,1,0.024772,4.1517,0.66,3.2941127903916536,0
PRIVISCL,2023-04-05,1048.39,SELL,HIGH_QUALITY_SELL,0.72,-1,0.040235,2.0787,0.7271,2.263852512750188,0
PRIVISCL,2024-06-27,1408.97,BUY,HIGH_QUALITY_BUY,0.7133,1,0.031185,1.7678,0.66,2.44820745973181,1
PRIVISCL,2024-11-06,1937.91,BUY,HIGH_QUALITY_BUY,0.5633,1,0.016198,1.7742,0.5935,2.2330947604329054,0
PRIVISCL,2025-05-08,2120.43,BUY,HIGH_QUALITY_BUY,0.7,1,0.075847,4.7554,0.66,2.4768269960304123,1
PRIVISCL,2025-06-05,2558.73,BUY,HIGH_QUALITY_BUY,0.59,1,0.066511,1.7134,0.8612,2.6024329728269255,0
PRIVISCL,2025-06-06,2285.09,SELL,HIGH_QUALITY_SELL,0.52,-1,0.114131,2.2086,0.8476,2.8592584039862663,0
