Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
RTNPOWER,2017-11-07,5.35,SELL,HIGH_QUALITY_SELL,0.81,-1,0.069565,1.8767,0.7932,2.41701383221502,0
RTNPOWER,2017-11-09,6.7,BUY,HIGH_QUALITY_BUY,0.9733,1,0.175439,3.7519,0.91,2.7185178989333836,0
RTNPOWER,2017-11-10,7.3,BUY,HIGH_QUALITY_BUY,0.9767,1,0.042857,2.7859,0.66,3.610916194273061,0
RTNPOWER,2017-11-17,7.6,BUY,HIGH_QUALITY_BUY,0.9833,1,0.020134,1.6219,0.66,4.915780413149267,0
RTNPOWER,2017-11-20,8.8,BUY,HIGH_QUALITY_BUY,0.99,1,0.142857,1.694,0.7679,5.31847751665886,0
RTNPOWER,2017-12-07,8.8,BUY,HIGH_QUALITY_BUY,0.9133,1,0.060241,3.2604,0.66,3.8256109574918553,0
RTNPOWER,2017-12-28,8.05,SELL,HIGH_QUALITY_SELL,0.9967,-1,0.052941,2.1191,0.6771,2.1556663514540286,-1
RTNPOWER,2017-12-29,7.85,SELL,HIGH_QUALITY_SELL,0.99,-1,0.030864,2.6773,0.7508,2.2191743179822163,-1
RTNPOWER,2018-01-12,8.25,BUY,HIGH_QUALITY_BUY,0.91,1,0.170213,4.2456,0.7585,3.2402047075920426,0
RTNPOWER,2018-02-02,6.6,SELL,HIGH_QUALITY_SELL,0.9933,-1,0.057143,1.8361,0.7206,2.235997057346522,-1
RTNPOWER,2020-04-24,1.3,SELL,HIGH_QUALITY_SELL,0.8933,-1,0.037037,1.6833,0.91,2.0538905020953275,0
RTNPOWER,2020-05-28,1.15,SELL,HIGH_QUALITY_SELL,0.8633,-1,0.041667,1.6194,0.91,2.0290160231450862,0
RTNPOWER,2020-08-10,3.3,BUY,HIGH_QUALITY_BUY,0.9667,1,0.03125,3.2326,0.91,2.160838182967313,0
RTNPOWER,2020-08-20,4.1,BUY,HIGH_QUALITY_BUY,0.96,1,0.078947,1.9873,0.66,5.43674887161302,0
RTNPOWER,2020-09-10,3.05,SELL,HIGH_QUALITY_SELL,0.9967,-1,0.016129,2.276,0.8423,2.8597541874716224,-1
RTNPOWER,2020-12-14,2.3,BUY,HIGH_QUALITY_BUY,0.9833,1,0.095238,4.1454,0.66,7.536743602189488,1
RTNPOWER,2020-12-17,2.35,BUY,HIGH_QUALITY_BUY,0.9967,1,0.093023,1.6721,0.66,12.536926829437178,1
RTNPOWER,2020-12-23,2.45,BUY,HIGH_QUALITY_BUY,0.9967,1,0.139535,1.8297,0.66,13.609651949234541,1
RTNPOWER,2021-01-04,2.8,BUY,HIGH_QUALITY_BUY,1.0,1,0.142857,5.6588,0.91,9.688013531247057,1
RTNPOWER,2021-01-05,3.35,BUY,HIGH_QUALITY_BUY,0.9967,1,0.196429,1.9748,0.91,10.584650337794956,1
RTNPOWER,2021-01-06,4.0,BUY,HIGH_QUALITY_BUY,0.97,1,0.126761,2.34,0.91,11.095074115147817,1
RTNPOWER,2023-06-26,5.6,BUY,HIGH_QUALITY_BUY,0.99,1,0.166667,4.1411,0.91,2.4842337341263065,1
RTNPOWER,2023-07-14,4.7,SELL,HIGH_QUALITY_SELL,0.8433,-1,0.020833,2.3028,0.66,3.644531800259834,0
RTNPOWER,2023-08-01,5.2,BUY,HIGH_QUALITY_BUY,0.9067,1,0.029703,2.0627,0.6696,2.346082264645925,1
RTNPOWER,2023-08-28,5.5,BUY,HIGH_QUALITY_BUY,0.9367,1,0.018519,1.6104,0.6341,2.8758496485887557,1
RTNPOWER,2023-08-29,5.95,BUY,HIGH_QUALITY_BUY,0.96,1,0.072072,1.7741,0.6999,3.1571306344374457,1
RTNPOWER,2023-08-30,6.5,BUY,HIGH_QUALITY_BUY,0.9633,1,0.065574,1.6754,0.91,3.572451526395784,1
RTNPOWER,2023-10-18,7.25,BUY,HIGH_QUALITY_BUY,0.9233,1,0.035714,2.679,0.91,2.12401478150362,1
RTNPOWER,2023-11-10,8.5,BUY,HIGH_QUALITY_BUY,0.9767,1,0.055901,4.1919,0.91,2.0169209722281334,1
RTNPOWER,2023-11-15,9.75,BUY,HIGH_QUALITY_BUY,0.9733,1,0.010363,1.6447,0.7414,2.5367162607128253,1
RTNPOWER,2023-11-23,9.65,BUY,HIGH_QUALITY_BUY,0.9967,1,0.102857,1.6782,0.91,3.2816906283479996,1
RTNPOWER,2025-06-11,15.24,BUY,HIGH_QUALITY_BUY,0.97,1,0.049587,4.5176,0.66,2.34184316956294,0
RTNPOWER,2025-06-20,13.89,BUY,HIGH_QUALITY_BUY,0.9967,1,0.094563,2.7307,0.66,4.627250157131667,0
RTNPOWER,2025-06-30,15.52,BUY,HIGH_QUALITY_BUY,0.9833,1,0.059386,3.0877,0.66,5.110256507222097,0
RTNPOWER,2025-07-07,15.92,BUY,HIGH_QUALITY_BUY,0.9933,1,0.076403,2.3218,0.7373,5.689328784639785,0
RTNPOWER,2025-07-23,14.43,SELL,HIGH_QUALITY_SELL,0.83,-1,0.050658,1.7394,0.66,4.33638160280549,-1
