Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
RVNL,2021-01-08,28.86,BUY,HIGH_QUALITY_BUY,1.0,1,0.072862,2.7997,0.6674,3.786289747852882,0
RVNL,2021-10-22,38.82,BUY,HIGH_QUALITY_BUY,1.0,1,0.179581,4.4687,0.91,2.0278776042355986,0
RVNL,2022-11-03,41.05,BUY,HIGH_QUALITY_BUY,1.0,1,0.066234,2.5805,0.8065,2.293641027214814,1
RVNL,2022-11-04,44.32,BUY,HIGH_QUALITY_BUY,1.0,1,0.061049,3.7173,0.7859,2.7729609293848316,1
RVNL,2022-11-07,48.89,BUY,HIGH_QUALITY_BUY,1.0,1,0.084276,2.9679,0.66,3.9693836980148474,1
RVNL,2022-11-15,58.38,BUY,HIGH_QUALITY_BUY,1.0,1,0.084123,3.0135,0.6852,6.66141480895572,1
RVNL,2022-11-24,64.63,BUY,HIGH_QUALITY_BUY,1.0,1,0.034577,1.9702,0.66,7.972625533365827,1
RVNL,2022-11-28,77.1,BUY,HIGH_QUALITY_BUY,1.0,1,0.049837,1.9205,0.8322,8.493622262006948,1
RVNL,2023-04-25,103.1,BUY,HIGH_QUALITY_BUY,1.0,1,0.179229,4.8551,0.8263,2.1020422623670676,1
RVNL,2023-09-11,186.79,BUY,HIGH_QUALITY_BUY,1.0,1,0.121323,2.8374,0.7614,2.2271645997816303,1
RVNL,2024-07-10,602.53,BUY,HIGH_QUALITY_BUY,1.0,1,0.089192,1.7721,0.7368,2.102860627059815,0
