Ticker,Date,Close,Signal_Label,RF_Final_Signal,RF_Quality_Score,Trigger_Candle_Dir,Trigger_Body_Pct,Trigger_Volume_Surge,Trigger_Candle_Score,Baseline_AVR_EMA,Signal_Quality
SKIPPER,2017-10-31,234.3,BUY,HIGH_QUALITY_BUY,0.6,1,0.05493,7.9852,0.66,3.249767677825935,0
SKIPPER,2017-11-23,243.15,SELL,HIGH_QUALITY_SELL,0.9767,-1,0.062175,2.302,0.7941,2.597423283527732,-1
SKIPPER,2017-11-27,265.06,BUY,HIGH_QUALITY_BUY,0.5133,1,0.045478,3.2562,0.66,2.481058062026103,0
SKIPPER,2020-02-19,35.21,SELL,HIGH_QUALITY_SELL,0.6033,-1,0.013725,3.413,0.6475,2.1579598667023907,0
SKIPPER,2020-06-03,31.13,BUY,HIGH_QUALITY_BUY,0.8667,1,0.107041,2.0511,0.66,2.185914841322359,1
SKIPPER,2021-06-25,86.95,BUY,HIGH_QUALITY_BUY,0.75,1,0.090282,6.1115,0.66,4.268343540737796,0
SKIPPER,2021-07-08,86.17,BUY,HIGH_QUALITY_BUY,0.75,1,0.027791,2.459,0.66,4.580436307043705,0
SKIPPER,2021-07-19,89.87,BUY,HIGH_QUALITY_BUY,0.6933,1,0.061415,3.1224,0.66,4.14385674348105,0
SKIPPER,2021-07-22,91.92,BUY,HIGH_QUALITY_BUY,0.72,1,0.049555,2.7212,0.66,4.47830858139832,0
SKIPPER,2022-12-02,106.05,BUY,HIGH_QUALITY_BUY,0.8233,1,0.205799,7.6673,0.91,2.5673200227105317,1
SKIPPER,2022-12-05,112.74,BUY,HIGH_QUALITY_BUY,0.8533,1,0.022121,2.064,0.66,3.732137163404767,0
SKIPPER,2022-12-08,128.16,BUY,HIGH_QUALITY_BUY,0.87,1,0.139707,2.7115,0.7481,4.330071655738397,1
SKIPPER,2022-12-28,126.36,BUY,HIGH_QUALITY_BUY,0.7067,1,0.043952,2.6232,0.66,3.3979286760540677,0
SKIPPER,2022-12-29,136.75,BUY,HIGH_QUALITY_BUY,0.75,1,0.082225,2.3085,0.7226,3.597859278334633,0
SKIPPER,2024-03-26,316.41,BUY,HIGH_QUALITY_BUY,0.7267,1,0.054454,2.2998,0.66,2.3600357365053184,1
