Date,Ticker,Direction,Confidence,Quality_Score_Pct,RF_Signal,Open,High,Low,Close,Volume,Candle_Direction,Body_Pct,Upper_Shadow_Pct,Lower_Shadow_Pct,Candle_Score,Volume_Surge_X,Volume_Assessment,AVR_Baseline_EMA,CAR_10_Pct,Return_Z_Score,Entry_Price,Stop_Loss,Target_1_15pct,Target_2_30pct,Risk_Reward_T1,Evidence_Count,Evidence_Points,Hist_Signals_Count,Hist_Win_Rate_Pct,Hist_Avg_6M_Return
2016-10-18,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,157.01,159.45,155.8,158.39,396160,GREEN,0.879,0.669,0.764,0.63,1.65,MODERATE,2.1252,4.1176,1.1305,158.39,150.47,182.15,205.91,3.0,5,Green candle confirmed (Close 158.39 > Open 157.01) | Volume surge 1.6x above 5-day average | AVR baseline elevated at 2.13 (top 10% historically) | CAR_10 positive at +4.12% (outperforming market) | Minimal upper shadow (0.7%) — no selling resistance,0,,
2018-01-04,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,174.61,186.02,171.07,180.56,881144,GREEN,3.408,3.024,1.961,0.66,2.32,STRONG,3.5105,23.4658,2.9155,180.56,171.53,207.64,234.73,3.0,5,Green candle confirmed (Close 180.56 > Open 174.61) | Volume surge 2.3x above 5-day average | AVR baseline elevated at 3.51 (top 10% historically) | CAR_10 positive at +23.47% (outperforming market) | Return Z-score 2.92 — statistically elevated return today,1,0.0,-10.0
2018-09-14,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,152.93,162.44,152.93,156.48,330532,GREEN,2.321,3.809,0.0,0.66,1.85,MODERATE,2.4564,17.3727,0.9963,156.48,148.66,179.95,203.42,3.0,4,Green candle confirmed (Close 156.48 > Open 152.93) | Volume surge 1.8x above 5-day average | AVR baseline elevated at 2.46 (top 10% historically) | CAR_10 positive at +17.37% (outperforming market),2,0.0,-19.8
2020-05-07,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,178.28,189.03,175.73,186.85,769224,GREEN,4.807,1.167,1.365,0.764,3.76,VERY STRONG,2.4309,14.061,1.9602,186.85,177.51,214.88,242.91,3.0,6,Green candle confirmed (Close 186.85 > Open 178.28) | Volume surge 3.8x above 5-day average | AVR baseline elevated at 2.43 (top 10% historically) | CAR_10 positive at +14.06% (outperforming market) | Minimal upper shadow (1.2%) — no selling resistance | Return Z-score 1.96 — statistically elevated return today,3,33.3,-12.8
2020-05-14,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,184.98,208.72,184.98,205.18,1861092,GREEN,10.92,1.725,0.0,0.694,6.43,VERY STRONG,2.8345,18.0873,3.1709,205.18,194.92,235.96,266.73,3.0,5,Green candle confirmed (Close 205.18 > Open 184.98) | Volume surge 6.4x above 5-day average | AVR baseline elevated at 2.83 (top 10% historically) | CAR_10 positive at +18.09% (outperforming market) | Return Z-score 3.17 — statistically elevated return today,4,50.0,50.9
2020-05-28,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,216.08,233.53,213.88,230.05,1342128,GREEN,6.465,1.513,0.956,0.721,1.79,MODERATE,5.8617,20.3911,2.0947,230.05,218.55,264.56,299.06,3.0,5,Green candle confirmed (Close 230.05 > Open 216.08) | Volume surge 1.8x above 5-day average | AVR baseline elevated at 5.86 (top 10% historically) | CAR_10 positive at +20.39% (outperforming market) | Return Z-score 2.09 — statistically elevated return today,5,60.0,89.6
2020-05-29,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,232.54,244.33,231.34,238.74,1856420,GREEN,2.666,2.341,0.503,0.66,1.96,MODERATE,6.084,11.3507,1.1761,238.74,226.8,274.55,310.36,3.0,4,Green candle confirmed (Close 238.74 > Open 232.54) | Volume surge 2.0x above 5-day average | AVR baseline elevated at 6.08 (top 10% historically) | CAR_10 positive at +11.35% (outperforming market),6,66.7,109.1
2020-06-16,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,241.26,249.61,230.98,246.37,2367332,GREEN,2.118,1.315,4.173,0.746,4.83,VERY STRONG,4.0012,6.3068,0.8908,246.37,234.05,283.33,320.28,3.0,5,Green candle confirmed (Close 246.37 > Open 241.26) | Volume surge 4.8x above 5-day average | AVR baseline elevated at 4.00 (top 10% historically) | CAR_10 positive at +6.31% (outperforming market) | Minimal upper shadow (1.3%) — no selling resistance,7,71.4,120.8
2020-06-17,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,255.14,264.54,249.67,258.79,2256464,GREEN,1.431,2.222,2.114,0.56,2.02,STRONG,4.7363,8.4511,1.5741,258.79,245.85,297.61,336.43,3.0,5,Green candle confirmed (Close 258.79 > Open 255.14) | Volume surge 2.0x above 5-day average | AVR baseline elevated at 4.74 (top 10% historically) | CAR_10 positive at +8.45% (outperforming market) | Return Z-score 1.57 — statistically elevated return today,8,75.0,130.8
2020-07-15,AARTIDRUGS,BUY,HIGH,100.0,HIGH_QUALITY_BUY,332.73,358.49,332.73,348.56,565092,GREEN,4.758,2.849,0.0,0.66,2.67,STRONG,2.0036,9.0633,1.5015,348.56,331.13,400.84,453.13,3.0,5,Green candle confirmed (Close 348.56 > Open 332.73) | Volume surge 2.7x above 5-day average | AVR baseline elevated at 2.00 (top 10% historically) | CAR_10 positive at +9.06% (outperforming market) | Return Z-score 1.50 — statistically elevated return today,9,77.8,136.6
